Superfamily,Family,Genus,Species,Month,Year,Country,State,Municipality,Locality,Species-Locality,Latitude_Longitude,Range_Size_sq_km,BIO1,BIO12,SampleID,Sequence_Reads,SVL_mm,Primary_Habitat,Extraction,mean_NDVI,OTU_richness,Faith_PD,Endangerment,Brazil_Redlist,IUCN_Status,Publication,,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN5,3899,24,Arboreal,Prepman,0.731252,24,2.340227,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN6,12297,24,Arboreal,Prepman,0.731252,21,2.443766,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Hyloidea,Hylidae,Dendropsophus,minutus,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,47,23.27 S 45.19 W,11635995.56,155,1743,MIN9,6060,24,Arboreal,Prepman,0.731252,16,2.248831,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR11,11188,22,Terrestrial,Prepman,0.731252,24,2.280592,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR17,20911,22,Terrestrial,Prepman,0.731252,11,1.150127,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR18,1898,22,Terrestrial,Prepman,0.731252,54,5.604172,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR23,9772,22,Terrestrial,Prepman,0.731252,26,2.870367,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR27,5657,22,Terrestrial,Prepman,0.731252,39,2.998303,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR30,11352,22,Terrestrial,Prepman,0.731252,35,3.408433,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
Brachycephaloidea,Brachycephalidae,Ischnocnema,parva,December,2015,Brazil,SP,Sao_Luiz_Paraitinga,19,51,23.27 S 45.19 W,145440.8385,155,1743,PAR6,6677,22,Terrestrial,Prepman,0.731252,35,3.032071,Non-threatened,LC,LC,"Mesquita AFC, Lambertini C, Lyra M, Malagoli LR, James TY, Toledo LF, et al. Low resistance to chytridiomycosis in direct-developing amphibians. Sci Rep. 2017;7:16605.",,,,,,,,,,,,,,,,,
